korak,razlicica,vrsta,kazalnik,vrednost,enota
D,delno_ocisceno,Kardiološki pregled - prvi h=4 naivni,MAE,368.9107,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 naivni,MASE,2.1821,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 ar1,MAE_vs_naivni_pct,-4.0723,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 ar1,MAE,100.562,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 ar1,MASE,1.0026,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 lin,MAE_vs_naivni_pct,-233.6445,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 lin,MAE,322.3911,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 lin,MASE,3.2217,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 naivni,MAE,96.6271,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=1 naivni,MASE,0.9665,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 ar1,MAE_vs_naivni_pct,15.2067,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 ar1,MAE,166.089,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 ar1,MASE,1.6536,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 lin,MAE_vs_naivni_pct,-91.7785,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 lin,MAE,375.646,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 lin,MASE,3.7545,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 naivni,MAE,195.875,
D,delno_ocisceno,Operacija sive mrene (katarakte) h=4 naivni,MASE,1.9593,
D,delno_ocisceno,Endoproteza kolena h=1 ar1,MAE_vs_naivni_pct,-22.7406,
D,delno_ocisceno,Endoproteza kolena h=1 ar1,MAE,157.0039,
D,delno_ocisceno,Endoproteza kolena h=1 ar1,MASE,1.4675,
D,delno_ocisceno,Endoproteza kolena h=1 lin,MAE_vs_naivni_pct,-60.3078,
D,delno_ocisceno,Endoproteza kolena h=1 lin,MAE,205.0581,
D,delno_ocisceno,Endoproteza kolena h=1 lin,MASE,1.8873,
D,delno_ocisceno,Endoproteza kolena h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Endoproteza kolena h=1 naivni,MAE,127.9153,
D,delno_ocisceno,Endoproteza kolena h=1 naivni,MASE,1.215,
D,delno_ocisceno,Endoproteza kolena h=4 ar1,MAE_vs_naivni_pct,-12.2412,
D,delno_ocisceno,Endoproteza kolena h=4 ar1,MAE,231.698,
D,delno_ocisceno,Endoproteza kolena h=4 ar1,MASE,2.1266,
D,delno_ocisceno,Endoproteza kolena h=4 lin,MAE_vs_naivni_pct,-4.0788,
D,delno_ocisceno,Endoproteza kolena h=4 lin,MAE,214.8484,
D,delno_ocisceno,Endoproteza kolena h=4 lin,MASE,1.9706,
D,delno_ocisceno,Endoproteza kolena h=4 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Endoproteza kolena h=4 naivni,MAE,206.4286,
D,delno_ocisceno,Endoproteza kolena h=4 naivni,MASE,1.9176,
D,delno_ocisceno,MR glave brez kontrasta h=1 ar1,MAE_vs_naivni_pct,-0.4108,
D,delno_ocisceno,MR glave brez kontrasta h=1 ar1,MAE,117.3785,
D,delno_ocisceno,MR glave brez kontrasta h=1 ar1,MASE,1.151,
D,delno_ocisceno,MR glave brez kontrasta h=1 lin,MAE_vs_naivni_pct,-882.7626,
D,delno_ocisceno,MR glave brez kontrasta h=1 lin,MAE,1148.8329,
D,delno_ocisceno,MR glave brez kontrasta h=1 lin,MASE,11.0174,
D,delno_ocisceno,MR glave brez kontrasta h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,MR glave brez kontrasta h=1 naivni,MAE,116.8983,
D,delno_ocisceno,MR glave brez kontrasta h=1 naivni,MASE,1.1426,
D,delno_ocisceno,MR glave brez kontrasta h=4 ar1,MAE_vs_naivni_pct,3.2062,
D,delno_ocisceno,MR glave brez kontrasta h=4 ar1,MAE,370.5475,
D,delno_ocisceno,MR glave brez kontrasta h=4 ar1,MASE,3.61,
D,delno_ocisceno,MR glave brez kontrasta h=4 lin,MAE_vs_naivni_pct,-246.0683,
D,delno_ocisceno,MR glave brez kontrasta h=4 lin,MAE,1324.8238,
D,delno_ocisceno,MR glave brez kontrasta h=4 lin,MASE,12.7262,
D,delno_ocisceno,MR glave brez kontrasta h=4 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,MR glave brez kontrasta h=4 naivni,MAE,382.8214,
D,delno_ocisceno,MR glave brez kontrasta h=4 naivni,MASE,3.7214,
D,delno_ocisceno,UZ vratnih žil h=1 ar1,MAE_vs_naivni_pct,2.0455,
D,delno_ocisceno,UZ vratnih žil h=1 ar1,MAE,327.8322,
D,delno_ocisceno,UZ vratnih žil h=1 ar1,MASE,1.1281,
D,delno_ocisceno,UZ vratnih žil h=1 lin,MAE_vs_naivni_pct,-391.0542,
D,delno_ocisceno,UZ vratnih žil h=1 lin,MAE,1643.4502,
D,delno_ocisceno,UZ vratnih žil h=1 lin,MASE,5.7097,
D,delno_ocisceno,UZ vratnih žil h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,UZ vratnih žil h=1 naivni,MAE,334.678,
D,delno_ocisceno,UZ vratnih žil h=1 naivni,MASE,1.159,
D,delno_ocisceno,UZ vratnih žil h=4 ar1,MAE_vs_naivni_pct,-12.2231,
D,delno_ocisceno,UZ vratnih žil h=4 ar1,MAE,696.084,
D,delno_ocisceno,UZ vratnih žil h=4 ar1,MASE,2.409,
D,delno_ocisceno,UZ vratnih žil h=4 lin,MAE_vs_naivni_pct,-196.7338,
D,delno_ocisceno,UZ vratnih žil h=4 lin,MAE,1840.5445,
D,delno_ocisceno,UZ vratnih žil h=4 lin,MASE,6.3993,
D,delno_ocisceno,UZ vratnih žil h=4 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,UZ vratnih žil h=4 naivni,MAE,620.2679,
D,delno_ocisceno,UZ vratnih žil h=4 naivni,MASE,2.1724,
D,delno_ocisceno,Agregat h=1 ar1,MAE_vs_naivni_pct,0.9331,
D,delno_ocisceno,Agregat h=1 ar1,MAE,1672.3504,
