vzs,naziv,prva,zadnja,rast_pct,mediana,modelirana
2346,MR protokol epilepsija s KS,11.0,17.0,54.55,12.0,False
2347,MR multipla skleroza s KS s 3D,174.0,190.0,9.2,219.5,False
2348,MR celotne hrbtenice,17.0,17.0,0.0,12.0,False
2349,MRCP (pregled žolčnega sistema),1629.0,3106.0,90.67,2011.0,False
2350,MR enterografija,111.0,80.0,-27.93,89.0,False
2351,MR male medenice,285.0,418.0,46.67,272.5,False
2352,MR male medenice s KS,782.0,1463.0,87.08,901.0,False
2353,MR srca in velikih žil brez KS,12.0,15.0,25.0,12.0,False
2356,CT zapestja,29.0,59.0,103.45,30.0,False
2357,CT komolca,11.0,16.0,45.45,8.0,False
2358,CT jeter s KS - 4 faze,17.0,27.0,58.82,25.0,False
2359,CT srca - prikaz kalcinacij,60.0,503.0,738.33,438.0,False
2372,Posegi v zunanjem ušesu,25.0,21.0,-16.0,22.0,False
2373,Drugi posegi na bobniču in srednjem ušesu,293.0,401.0,36.86,312.0,False
2374,Posegi na mastoidni in temporalni kosti,20.0,19.0,-5.0,19.0,False
2375,Posegi na notranjem ušesu,43.0,46.0,6.98,40.0,False
2376,Posegi na koščicah srednjega ušesa,5.0,5.0,0.0,5.0,False
2377,Implantacija elektromagnetnega slušnega pripomočka,17.0,13.0,-23.53,12.0,False
2378,Vstavitev/odstranitev kohlearnega implanta,20.0,16.0,-20.0,27.0,False
2379,Operacija nosnega pretina,1169.0,1699.0,45.34,1340.0,False
2380,Posegi v nosnih sinusih,9.0,30.0,233.33,21.0,False
2383,"Drugi posegi v ustih, na nebu ali jezičku",347.0,378.0,8.93,421.5,False
2384,Drugi posegi v nosu,68.0,60.0,-11.76,72.0,False
2395P,Oromaksilofacialni pregled - prvi,18124.0,20431.0,12.73,19697.5,False
2407,Druge ortopedske operacije gležnja in stopala,898.0,1080.0,20.27,917.0,False
