vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1705,CT po mielografiji s KS,0.0,0.0,0.0,0.5804,0.5893,0.5982,0.5804,112
1706,CT skeleta medenice s KS,0.0,0.0,0.0,0.5179,0.5089,0.5179,0.5089,112
1707,CT artrografija rame s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1708,CT artrografija - drugo s KS,0.0,0.0,0.0,0.1071,0.125,0.1161,0.0982,112
1709,CT po lSR s KS,0.0,0.0,0.0,1.0,1.0,1.0,1.0,109
1710,CT hrbtenice z intratekalno aplik. KS,0.0,0.0,0.0,0.6607,0.6518,0.6607,0.6518,112
1712,CT skeleta drugo s KS,0.0,0.0,0.0,0.2857,0.2946,0.3036,0.2857,112
1713,CT prsnih organov brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1715,CT trebušnih organov brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1716,CT zgornjega abdomna brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1717,CT medeničnih organov brez KS,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1718,CT prsnega koša - pljuč HRCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1719,CT abdomna brez KS - drugo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1720,CT pljuč protokol lungcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1722,CT širokega črevesa brez KS,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1723,CT ozkega črevesa brez KS,0.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,112
1724,CT prsnih organov s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1725,CT trebušnih organov s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1726,CT zgornjega abdomna s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1727,CT medeničnih organov s KS,0.0,0.0,0.0,0.0,0.0,0.0268,0.0,112
1728,CT jeter s portalnim ojačanjem,0.0,0.0,0.0,0.2143,0.2232,0.2054,0.2054,112
1729,CT urografija - KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1730,CT širokega črevesa s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1731,CT ozkega črevesa s KS,0.0,0.0,0.0,0.2679,0.3036,0.3036,0.2679,112
1732,CTA torakalne aorte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1733,CTA abdominalne aorte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1734,CTA pelvičnih žil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1735,CTA zgornjih okončin,0.0,0.0,0.0,0.0,0.0,0.0268,0.0,112
1736,CTA pljučnih arterij,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1737,CTA jeter,0.0,0.0,0.0,0.5357,0.5446,0.5446,0.5268,112
1738,CTA ledvic,0.0,0.0,0.0,0.0268,0.0179,0.0357,0.0179,112
1739,CTA selektivne angiografije,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1740,CTA aorto - cervikalna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1741,CTA pelvičnih a. in a. spodnjih okončin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1742,CTA torakalne in abdominalne aorte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1743,CTA možganskih arterij,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1744,CTA venografija možganov,0.0,0.0,0.0,0.0625,0.0446,0.0446,0.0446,112
1745,CTA venografija vratu,0.0,0.0,0.0,0.25,0.2411,0.25,0.2411,112
1746,CTA venografija drugo,0.0,0.0,0.0,0.0268,0.0,0.0089,0.0,112
1747,CTA srca - prikaz kalcinacij,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1748,CTA srca - prikaz morfoloških struktur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1749,CTA srca - prikaz funkcije,0.0,0.0,0.0,0.0,0.0,0.0357,0.0,112
1750,CTA koronarnih arterij,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1755,MR glave brez kontrasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1756,MR obraza in drugo brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1757,MR vratu brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1758,MR multipla skleroza brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1759,MR glave s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1760,MR obraza in drugo s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1762,MR multipla skleroza s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1763,MR vratu s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1764,MR cervikalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1765,MR rame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1766,MR torakalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1767,MR komolca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1768,MR lumbosakralne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1769,MR zapestja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1770,MR roke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1771,MR kolka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1772,MR kolena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1773,MR gležnja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1774,MR stopala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1776,MR skeleta brez KS - drugo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1777,MR SIS (sakroliakalnega sklepa) brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1778,MR cervikalne hrbtenice s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1779,MR torakalne hrbtenice s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1780,MR komolca s KS,0.0,0.0,0.0,0.0268,0.0179,0.0625,0.0179,112
1781,MR lumbosakralne hrbtenice s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1782,MR rame s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1783,MR zapestja s KS,0.0,0.0,0.0,0.0089,0.0,0.0357,0.0,112
