vzs_sifra,vzs_naziv,n_zanesljivih_tednov,popolna_vrsta,v_agregatu,opomba
2347,MR multipla skleroza s KS s 3D,110,True,True,
2348,MR celotne hrbtenice,110,True,True,
2349,MRCP (pregled žolčnega sistema),110,True,True,
2350,MR enterografija,110,True,True,
2351,MR male medenice,110,True,True,
2352,MR male medenice s KS,110,True,True,
2353,MR srca in velikih žil brez KS,110,True,True,
2356,CT zapestja,110,True,True,
2357,CT komolca,110,True,True,
2358,CT jeter s KS - 4 faze,110,True,True,
2359,CT srca - prikaz kalcinacij,110,True,True,
2372,Posegi v zunanjem ušesu,110,True,True,
2373,Drugi posegi na bobniču in srednjem ušesu,110,True,True,
2374,Posegi na mastoidni in temporalni kosti,110,True,True,
2375,Posegi na notranjem ušesu,110,True,True,
2376,Posegi na koščicah srednjega ušesa,110,True,True,
2377,Implantacija elektromagnetnega slušnega pripomočka,110,True,True,
2378,Vstavitev/odstranitev kohlearnega implanta,110,True,True,
2379,Operacija nosnega pretina,110,True,True,
2380,Posegi v nosnih sinusih,110,True,True,
2382,Radikalna ekscizija tumorja ustne votline,0,False,False,
2383,"Drugi posegi v ustih, na nebu ali jezičku",110,True,True,
2384,Drugi posegi v nosu,110,True,True,
2395P,Oromaksilofacialni pregled - prvi,110,True,True,blok-izpad 18. 7. – 22. 8. 2024 (raven ~9.400 namesto ~18.800)
2401,Posegi na hrbtenici zaradi vnetja,0,False,False,
2407,Druge ortopedske operacije gležnja in stopala,110,True,True,
